FilePath,FileName,Label,Confidence,Method,Why,TargetPath,Action
C:\Users\leopa\Desktop\ArchiveTest\Incoming\2021.pdf,2021.pdf,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\2022.pdf,2022.pdf,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (2).ini,alembic (2).ini,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (4).ini,alembic (4).ini,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (5).ini,alembic (5).ini,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\api (7).py,api (7).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\app (5).py,app (5).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\AxCore.zip,AxCore.zip,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\base (3).py,base (3).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\Business_Hierarchy_Map (2).md,Business_Hierarchy_Map (2).md,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\config (5).py,config (5).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Bio_Leo_v1.0 (2).md,CoreMemory_Bio_Leo_v1.0 (2).md,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Identity_Ax++_v2.1 (2).md,CoreMemory_Identity_Ax++_v2.1 (2).md,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Principles_Rituals_v1.0 (2).md,CoreMemory_Principles_Rituals_v1.0 (2).md,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\discovery.py,discovery.py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\domain (4).py,domain (4).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\domain (7).py,domain (7).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\errors (1).py,errors (1).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\identity (2).py,identity (2).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\identity (3).py,identity (3).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\ingest (1).py,ingest (1).py,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\iso3166.yaml,iso3166.yaml,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\iso4217.yaml,iso4217.yaml,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\Leo's Passport.pdf,Leo's Passport.pdf,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
C:\Users\leopa\Desktop\ArchiveTest\Incoming\Master_Project_List.pdf,Master_Project_List.pdf,,0.00,none,no match,C:\Users\leopa\Desktop\ArchiveTest\Sorted,Skip
