Time,Action,Status,SourcePath,DestPath,Label,Confidence,Why,Note
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\2021.pdf,C:\Users\leopa\Desktop\ArchiveTest\Sorted\2021.pdf,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\2022.pdf,C:\Users\leopa\Desktop\ArchiveTest\Sorted\2022.pdf,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (2).ini,C:\Users\leopa\Desktop\ArchiveTest\Sorted\alembic (2).ini,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (4).ini,C:\Users\leopa\Desktop\ArchiveTest\Sorted\alembic (4).ini,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\alembic (5).ini,C:\Users\leopa\Desktop\ArchiveTest\Sorted\alembic (5).ini,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\api (7).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\api (7).py,,0.00,no match,
2025-11-06T00:57:30.019147,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\app (5).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\app (5).py,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\AxCore.zip,C:\Users\leopa\Desktop\ArchiveTest\Sorted\AxCore.zip,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\base (3).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\base (3).py,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\Business_Hierarchy_Map (2).md,C:\Users\leopa\Desktop\ArchiveTest\Sorted\Business_Hierarchy_Map (2).md,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\config (5).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\config (5).py,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Bio_Leo_v1.0 (2).md,C:\Users\leopa\Desktop\ArchiveTest\Sorted\CoreMemory_Bio_Leo_v1.0 (2).md,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Identity_Ax++_v2.1 (2).md,C:\Users\leopa\Desktop\ArchiveTest\Sorted\CoreMemory_Identity_Ax++_v2.1 (2).md,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\CoreMemory_Principles_Rituals_v1.0 (2).md,C:\Users\leopa\Desktop\ArchiveTest\Sorted\CoreMemory_Principles_Rituals_v1.0 (2).md,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\discovery.py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\discovery.py,,0.00,no match,
2025-11-06T00:57:30.020234,Skip,Skip,C:\Users\leopa\Desktop\ArchiveTest\Incoming\domain (4).py,C:\Users\leopa\Desktop\ArchiveTest\Sorted\domain (4).py,,0.00,no match,
